driverRef,0
Cannoc,1
Changy,1
abate,2
abecassis,2
acheson,2
adamich,5
adams,1
ader,1
adolff,1
agabashian,8
ahrens,2
aitken,1
alan_brown,3
albers,3
albon,3
alboreto,14
alesi,13
alguersuari,3
alliot,9
allison,4
alonso,19
amati,1
ambrosio,2
amick,2
amon,14
anderson,5
andersson,2
andre_pilette,7
andretti,1
andrews,2
angelis,8
apicella,1
armi,1
arnold,1
arnoux,12
arundell,4
ascari,6
ashdown,1
ashley,4
ashmore,2
aston,1
attwood,5
ayulo,4
badoer,5
baghetti,7
bailey,2
baldi,4
ball,2
balsa,1
bandini,7
banks,3
barbazza,2
barber,2
barilla,2
barrichello,19
bartels,1
barth,6
bassi,1
bauer,1
baumgartner,2
bayol,5
beaufort,8
beauman,1
bechem,2
behra,8
bell,6
bellof,2
belmondo,2
belso,1
beltoise,8
beretta,1
berg,1
berger,14
bernard,4
bernoldi,2
bertaggia,1
bettenhausen,11
beuttler,3
bianchi,7
bianco,1
bill_moss,1
binder,3
biondetti,1
bira,5
birger,2
bisch,1
blanchard,1
bleekemolen,2
blignaut,1
blokdyk,2
blundell,4
bob_scott,3
boesel,2
boffa,1
bondurant,2
bonetto,4
bonnier,16
bonomi,1
bordeu,1
borgudd,2
botha,1
bottas,10
boullion,1
bourdais,2
boutsen,11
boyd,6
brabham,2
brack,3
brambilla,7
branca,2
brancatelli,1
brandon,2
branson,2
brendon_hartley,2
bridger,1
brise,1
bristow,2
broeker,1
brooks,6
brown,1
brudes,1
brundle,12
bruni,1
bruno_senna,3
bryan,9
bucci,2
bucknum,3
bueb,3
buemi,3
bueno,1
burgess,6
burti,2
bussinello,3
button,18
byrne,1
cabantous,4
cabianca,3
cabral,4
cade,1
caffi,6
campbell-jones,3
campos,2
cantoni,1
cantrell,1
capelli,9
carini,2
castellotti,3
cecotto,2
cesaris,15
cevert,4
chaboud,2
chamberlain,1
chandhok,2
chapman,1
charlton,9
charrington,1
chaves,1
cheesbourg,3
cheever,11
chiesa,1
chilton,2
chimeri,1
chiron,6
chitwood,1
christie,5
claes,5
clapham,1
clark,9
cogan,2
collins,7
collomb,4
colombo,1
comas,4
comotti,2
connor,5
constantine,1
cordts,1
corrado_fabi,2
coulthard,15
courage,4
craft,1
crawford,1
crespo,1
creus,1
crockett,1
crook,2
cross,4
crossley,1
cruz,1
daigh,1
dalmas,5
daly,5
damon_hill,8
danner,4
daponte,1
darter,8
davidson,4
davies,5
davis,2
daywalt,6
de_vries,1
deletraz,2
dempsey_wilson,2
dennis_taylor,1
depailler,8
desire_wilson,1
dick_rathmann,5
diniz,6
dinsmore,4
dochnal,1
dolhem,1
donnelly,2
donohue,3
doornbos,2
downing,1
drake,1
driver,2
drogo,1
dryver,1
duke,1
dumfries,1
duncan,1
duncan_hamilton,3
dusio,1
eaton,3
ecclestone,1
edmunds,1
edwards,3
elford,3
elisian,5
emerson_fittipaldi,11
emery,2
enge,1
england,1
ericsson,5
ernesto_brambilla,1
ertl,5
estefano,3
etancelin,3
evans,2
fabi,5
fabre,1
facetti,1
fagioli,2
fairman,8
fangio,8
farina,6
faulkner,5
filippis,2
firman,1
fischer,2
fisher,1
fisichella,14
fitch,2
fittipaldi,3
fitzau,1
flaherty,6
flinterman,1
flockhart,6
fohr,1
foitek,2
follmer,1
fonder,2
fontana,1
fontes,1
forberg,1
force,2
forini,1
foyt,3
francia,2
freeland,8
frentzen,10
frere,5
friesacher,1
fry,1
fushida,1
gabbiani,2
gachot,6
gaillard,1
galica,2
galli,4
galvez,1
gamble,1
ganley,4
garde,1
gardner,3
garrett,2
gartner,1
gary_brabham,1
gasly,6
gavin,4
gaze,1
geki,3
gendebien,5
gene,4
george,1
george_amick,1
george_connor,3
georges_berger,2
gerard,6
gerini,2
gethin,5
ghinzani,8
giacomelli,8
gibson,2
gilles_villeneuve,6
gimax,1
ginther,8
giovinazzi,4
giunti,1
glock,6
godia,5
goethals,1
goldsmith,3
gonzalez,9
gordini,1
gould,6
gounon,2
graffenried,6
graham_whitehead,1
grassi,1
green,2
greene,4
gregory,8
griffith,3
grignard,1
grim,2
grosjean,10
grouillard,4
gubby,1
guelfi,1
guerra,1
guerrero,2
gugelmin,5
gurney,11
gutierrez,3
guy_mairesse,2
hahne,3
hailwood,7
hakkinen,11
halford,4
hall,4
hamilton,16
hampshire,1
hanks,8
hans_stuck,2
hansgen,3
harris,1
harrison,1
hart,1
hartley,8
haryanto,1
hasemi,1
hattori,1
hawkins,1
hawthorn,7
hayje,2
heeks,2
heidfeld,12
helfrich,3
hellings,2
henry_taylor,3
henton,4
herbert,12
herman,5
herrmann,8
hesnault,2
heyer,1
hill,18
hirt,3
hobbs,4
hocking,1
hoffmann,2
holland,2
holmes,2
homeier,3
hoshino,2
hoyt,4
hulkenberg,11
hulme,10
hunt,7
hurtubise,1
hutchison,1
ian_scheckter,4
ian_stewart,1
ickx,13
ide,1
iglesias,1
inoue,2
