,resultId,raceId,driverId,constructorId,number,positionOrder,points,rank,statusId,driverRef,forename,surname,nationality,nameTeam,year,circuitId,nameTrack
9274,9275,399,117,1,1,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1987,27,Autódromo do Estoril
9300,9301,400,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1987,26,Circuito de Jerez
9327,9328,401,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1987,32,Autódromo Hermanos Rodríguez
9353,9354,402,77,6,28,1,9.0,\N,1,berger,Gerhard,Berger,Austrian,Ferrari,1987,22,Suzuka Circuit
9380,9381,403,77,6,28,1,9.0,\N,1,berger,Gerhard,Berger,Austrian,Ferrari,1987,29,Adelaide Street Circuit
9407,9408,404,137,3,6,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Williams,1986,36,Autódromo Internacional Nelson Piquet
9432,9433,405,102,32,12,1,9.0,\N,1,senna,Ayrton,Senna,Brazilian,Team Lotus,1986,26,Circuito de Jerez
9457,9458,406,117,1,1,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1986,21,Autodromo Enzo e Dino Ferrari
9483,9484,407,117,1,1,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1986,6,Circuit de Monaco
9508,9509,408,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1986,13,Circuit de Spa-Francorchamps
9533,9534,409,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1986,7,Circuit Gilles Villeneuve
9558,9559,410,102,32,12,1,9.0,\N,1,senna,Ayrton,Senna,Brazilian,Team Lotus,1986,37,Detroit Street Circuit
9584,9585,411,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1986,34,Circuit Paul Ricard
9610,9611,412,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1986,38,Brands Hatch
9636,9637,413,137,3,6,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Williams,1986,10,Hockenheimring
9662,9663,414,137,3,6,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Williams,1986,11,Hungaroring
9688,9689,415,117,1,1,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1986,70,Red Bull Ring
9714,9715,416,137,3,6,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Williams,1986,14,Autodromo Nazionale di Monza
9741,9742,417,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1986,27,Autódromo do Estoril
9768,9769,418,77,22,20,1,9.0,\N,1,berger,Gerhard,Berger,Austrian,Benetton,1986,32,Autódromo Hermanos Rodríguez
9793,9794,419,117,1,1,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1986,29,Adelaide Street Circuit
9819,9820,420,117,1,2,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1985,36,Autódromo Internacional Nelson Piquet
9844,9845,421,102,32,12,1,9.0,\N,1,senna,Ayrton,Senna,Brazilian,Team Lotus,1985,27,Autódromo do Estoril
9870,9871,422,173,32,11,1,9.0,\N,1,angelis,Elio,de Angelis,Italian,Team Lotus,1985,21,Autodromo Enzo e Dino Ferrari
9896,9897,423,117,1,2,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1985,6,Circuit de Monaco
9921,9922,424,105,6,27,1,9.0,\N,1,alboreto,Michele,Alboreto,Italian,Ferrari,1985,7,Circuit Gilles Villeneuve
9946,9947,425,177,3,6,1,9.0,\N,1,keke_rosberg,Keke,Rosberg,Finnish,Williams,1985,37,Detroit Street Circuit
9971,9972,426,137,34,7,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1985,34,Circuit Paul Ricard
9997,9998,427,117,1,2,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1985,9,Silverstone Circuit
10023,10024,428,105,6,27,1,9.0,\N,1,alboreto,Michele,Alboreto,Italian,Ferrari,1985,20,Nürburgring
10050,10051,429,117,1,2,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1985,70,Red Bull Ring
10077,10078,430,182,1,1,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,McLaren,1985,39,Circuit Park Zandvoort
10103,10104,431,117,1,2,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1985,14,Autodromo Nazionale di Monza
10129,10130,432,102,32,12,1,9.0,\N,1,senna,Ayrton,Senna,Brazilian,Team Lotus,1985,13,Circuit de Spa-Francorchamps
10153,10154,433,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1985,38,Brands Hatch
10179,10180,434,95,3,5,1,9.0,\N,1,mansell,Nigel,Mansell,British,Williams,1985,30,Kyalami
10200,10201,435,177,3,6,1,9.0,\N,1,keke_rosberg,Keke,Rosberg,Finnish,Williams,1985,29,Adelaide Street Circuit
10225,10226,436,117,1,7,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1984,36,Autódromo Internacional Nelson Piquet
10252,10253,437,182,1,8,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,McLaren,1984,30,Kyalami
10279,10280,438,105,6,27,1,9.0,\N,1,alboreto,Michele,Alboreto,Italian,Ferrari,1984,40,Zolder
10306,10307,439,117,1,7,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1984,21,Autodromo Enzo e Dino Ferrari
10334,10335,440,182,1,8,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,McLaren,1984,41,Dijon-Prenois
10360,10361,441,117,1,7,1,4.5,\N,1,prost,Alain,Prost,French,McLaren,1984,6,Circuit de Monaco
10387,10388,442,137,34,1,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1984,7,Circuit Gilles Villeneuve
10413,10414,443,137,34,1,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1984,37,Detroit Street Circuit
10440,10441,444,177,3,6,1,9.0,\N,1,keke_rosberg,Keke,Rosberg,Finnish,Williams,1984,42,Fair Park
10466,10467,445,182,1,8,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,McLaren,1984,38,Brands Hatch
10494,10495,446,117,1,7,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1984,10,Hockenheimring
10521,10522,447,182,1,8,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,McLaren,1984,70,Red Bull Ring
10548,10549,448,117,1,7,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1984,39,Circuit Park Zandvoort
10575,10576,449,182,1,8,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,McLaren,1984,14,Autodromo Nazionale di Monza
10602,10603,450,117,1,7,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1984,20,Nürburgring
10628,10629,451,117,1,7,1,9.0,\N,1,prost,Alain,Prost,French,McLaren,1984,27,Autódromo do Estoril
10655,10656,452,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1983,36,Autódromo Internacional Nelson Piquet
10683,10684,453,187,1,7,1,9.0,\N,1,watson,John,Watson,British,McLaren,1983,43,Long Beach
10711,10712,454,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1983,34,Circuit Paul Ricard
10740,10741,455,175,6,27,1,9.0,\N,1,tambay,Patrick,Tambay,French,Ferrari,1983,21,Autodromo Enzo e Dino Ferrari
10768,10769,456,177,3,1,1,9.0,\N,1,keke_rosberg,Keke,Rosberg,Finnish,Williams,1983,6,Circuit de Monaco
10796,10797,457,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1983,13,Circuit de Spa-Francorchamps
10824,10825,458,105,25,3,1,9.0,\N,1,alboreto,Michele,Alboreto,Italian,Tyrrell,1983,37,Detroit Street Circuit
10851,10852,459,163,6,28,1,9.0,\N,1,arnoux,René,Arnoux,French,Ferrari,1983,7,Circuit Gilles Villeneuve
10879,10880,460,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1983,9,Silverstone Circuit
10908,10909,461,163,6,28,1,9.0,\N,1,arnoux,René,Arnoux,French,Ferrari,1983,10,Hockenheimring
10937,10938,462,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1983,70,Red Bull Ring
10966,10967,463,163,6,28,1,9.0,\N,1,arnoux,René,Arnoux,French,Ferrari,1983,39,Circuit Park Zandvoort
10995,10996,464,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1983,14,Autodromo Nazionale di Monza
11024,11025,465,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1983,38,Brands Hatch
11053,11054,466,119,34,6,1,9.0,\N,1,patrese,Riccardo,Patrese,Italian,Brabham,1983,30,Kyalami
11079,11080,467,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1982,30,Kyalami
11110,11111,468,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1982,36,Autódromo Internacional Nelson Piquet
11141,11142,469,182,1,8,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,McLaren,1982,43,Long Beach
11172,11173,470,202,6,28,1,9.0,\N,1,pironi,Didier,Pironi,French,Ferrari,1982,21,Autodromo Enzo e Dino Ferrari
11186,11187,471,187,1,7,1,9.0,\N,1,watson,John,Watson,British,McLaren,1982,40,Zolder
11218,11219,472,119,34,2,1,9.0,\N,1,patrese,Riccardo,Patrese,Italian,Brabham,1982,6,Circuit de Monaco
11249,11250,473,187,1,7,1,9.0,\N,1,watson,John,Watson,British,McLaren,1982,37,Detroit Street Circuit
11278,11279,474,137,34,1,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1982,7,Circuit Gilles Villeneuve
11307,11308,475,202,6,28,1,9.0,\N,1,pironi,Didier,Pironi,French,Ferrari,1982,39,Circuit Park Zandvoort
11338,11339,476,182,1,8,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,McLaren,1982,38,Brands Hatch
11368,11369,477,163,4,16,1,9.0,\N,1,arnoux,René,Arnoux,French,Renault,1982,34,Circuit Paul Ricard
11397,11398,478,175,6,27,1,9.0,\N,1,tambay,Patrick,Tambay,French,Ferrari,1982,10,Hockenheimring
11426,11427,479,173,32,11,1,9.0,\N,1,angelis,Elio,de Angelis,Italian,Team Lotus,1982,70,Red Bull Ring
11455,11456,480,177,3,6,1,9.0,\N,1,keke_rosberg,Keke,Rosberg,Finnish,Williams,1982,41,Dijon-Prenois
11484,11485,481,163,4,16,1,9.0,\N,1,arnoux,René,Arnoux,French,Renault,1982,14,Autodromo Nazionale di Monza
11514,11515,482,105,25,3,1,9.0,\N,1,alboreto,Michele,Alboreto,Italian,Tyrrell,1982,44,Las Vegas Street Circuit
11544,11545,483,178,3,1,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1981,43,Long Beach
11573,11574,484,199,3,2,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Williams,1981,36,Autódromo Internacional Nelson Piquet
11603,11604,485,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1981,25,Autódromo Juan y Oscar Gálvez
11632,11633,486,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1981,21,Autodromo Enzo e Dino Ferrari
11664,11665,487,199,3,2,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Williams,1981,40,Zolder
11695,11696,488,203,6,27,1,9.0,\N,1,gilles_villeneuve,Gilles,Villeneuve,Canadian,Ferrari,1981,6,Circuit de Monaco
11726,11727,489,203,6,27,1,9.0,\N,1,gilles_villeneuve,Gilles,Villeneuve,Canadian,Ferrari,1981,45,Jarama
11756,11757,490,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1981,41,Dijon-Prenois
11785,11786,491,187,1,7,1,9.0,\N,1,watson,John,Watson,British,McLaren,1981,9,Silverstone Circuit
11815,11816,492,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1981,10,Hockenheimring
11845,11846,493,172,27,26,1,9.0,\N,1,laffite,Jacques,Laffite,French,Ligier,1981,70,Red Bull Ring
11873,11874,494,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1981,39,Circuit Park Zandvoort
11903,11904,495,117,4,15,1,9.0,\N,1,prost,Alain,Prost,French,Renault,1981,14,Autodromo Nazionale di Monza
11933,11934,496,172,27,26,1,9.0,\N,1,laffite,Jacques,Laffite,French,Ligier,1981,7,Circuit Gilles Villeneuve
11963,11964,497,178,3,1,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1981,44,Las Vegas Street Circuit
11993,11994,498,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1980,25,Autódromo Juan y Oscar Gálvez
12021,12022,499,163,4,16,1,9.0,\N,1,arnoux,René,Arnoux,French,Renault,1980,18,Autódromo José Carlos Pace
12049,12050,500,163,4,16,1,9.0,\N,1,arnoux,René,Arnoux,French,Renault,1980,30,Kyalami
12077,12078,501,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1980,43,Long Beach
12104,12105,502,202,27,25,1,9.0,\N,1,pironi,Didier,Pironi,French,Ligier,1980,40,Zolder
12131,12132,503,199,3,28,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Williams,1980,6,Circuit de Monaco
12158,12159,504,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1980,34,Circuit Paul Ricard
12185,12186,505,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1980,38,Brands Hatch
12212,12213,506,172,27,26,1,9.0,\N,1,laffite,Jacques,Laffite,French,Ligier,1980,10,Hockenheimring
12238,12239,507,219,4,15,1,9.0,\N,1,jabouille,Jean-Pierre,Jabouille,French,Renault,1980,70,Red Bull Ring
12264,12265,508,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1980,39,Circuit Park Zandvoort
12293,12294,509,137,34,5,1,9.0,\N,1,piquet,Nelson,Piquet,Brazilian,Brabham,1980,21,Autodromo Enzo e Dino Ferrari
12321,12322,510,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1980,7,Circuit Gilles Villeneuve
12349,12350,511,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1980,46,Watkins Glen
12376,12377,512,172,27,26,1,9.0,\N,1,laffite,Jacques,Laffite,French,Ligier,1979,25,Autódromo Juan y Oscar Gálvez
12402,12403,513,172,27,26,1,9.0,\N,1,laffite,Jacques,Laffite,French,Ligier,1979,18,Autódromo José Carlos Pace
12428,12429,514,203,6,12,1,9.0,\N,1,gilles_villeneuve,Gilles,Villeneuve,Canadian,Ferrari,1979,30,Kyalami
12454,12455,515,203,6,12,1,9.0,\N,1,gilles_villeneuve,Gilles,Villeneuve,Canadian,Ferrari,1979,43,Long Beach
12480,12481,516,221,27,25,1,9.0,\N,1,depailler,Patrick,Depailler,French,Ligier,1979,45,Jarama
12507,12508,517,222,6,11,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Ferrari,1979,40,Zolder
12535,12536,518,222,6,11,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Ferrari,1979,6,Circuit de Monaco
12560,12561,519,219,4,15,1,9.0,\N,1,jabouille,Jean-Pierre,Jabouille,French,Renault,1979,41,Dijon-Prenois
12587,12588,520,223,3,28,1,9.0,\N,1,regazzoni,Clay,Regazzoni,Swiss,Williams,1979,9,Silverstone Circuit
12613,12614,521,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1979,10,Hockenheimring
12639,12640,522,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1979,70,Red Bull Ring
12665,12666,523,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1979,39,Circuit Park Zandvoort
12691,12692,524,222,6,11,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Ferrari,1979,14,Autodromo Nazionale di Monza
12719,12720,525,178,3,27,1,9.0,\N,1,jones,Alan,Jones,Australian,Williams,1979,7,Circuit Gilles Villeneuve
12749,12750,526,203,6,12,1,9.0,\N,1,gilles_villeneuve,Gilles,Villeneuve,Canadian,Ferrari,1979,46,Watkins Glen
12779,12780,527,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1978,25,Autódromo Juan y Oscar Gálvez
12806,12807,528,199,6,11,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Ferrari,1978,36,Autódromo Internacional Nelson Piquet
12834,12835,529,238,32,6,1,9.0,\N,1,peterson,Ronnie,Peterson,Swedish,Team Lotus,1978,30,Kyalami
12864,12865,530,199,6,11,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Ferrari,1978,43,Long Beach
12894,12895,531,221,25,4,1,9.0,\N,1,depailler,Patrick,Depailler,French,Tyrrell,1978,6,Circuit de Monaco
12924,12925,532,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1978,40,Zolder
12954,12955,533,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1978,45,Jarama
12983,12984,534,182,34,1,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Brabham,1978,47,Scandinavian Raceway
13010,13011,535,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1978,34,Circuit Paul Ricard
13039,13040,536,199,6,11,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Ferrari,1978,38,Brands Hatch
13069,13070,537,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1978,10,Hockenheimring
13099,13100,538,238,32,6,1,9.0,\N,1,peterson,Ronnie,Peterson,Swedish,Team Lotus,1978,70,Red Bull Ring
13130,13131,539,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1978,39,Circuit Park Zandvoort
13163,13164,540,182,34,1,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Brabham,1978,14,Autodromo Nazionale di Monza
13195,13196,541,199,6,11,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Ferrari,1978,46,Watkins Glen
13222,13223,542,203,6,12,1,9.0,\N,1,gilles_villeneuve,Gilles,Villeneuve,Canadian,Ferrari,1978,7,Circuit Gilles Villeneuve
13250,13251,543,222,59,20,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Wolf,1977,25,Autódromo Juan y Oscar Gálvez
13271,13272,544,199,6,12,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Ferrari,1977,18,Autódromo José Carlos Pace
13293,13294,545,182,6,11,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1977,30,Kyalami
13316,13317,546,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1977,43,Long Beach
13338,13339,547,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1977,45,Jarama
13369,13370,548,222,59,20,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Wolf,1977,6,Circuit de Monaco
13395,13396,549,255,32,6,1,9.0,\N,1,nilsson,Gunnar,Nilsson,Swedish,Team Lotus,1977,40,Zolder
13426,13427,550,172,27,26,1,9.0,\N,1,laffite,Jacques,Laffite,French,Ligier,1977,47,Scandinavian Raceway
13457,13458,551,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1977,41,Dijon-Prenois
13487,13488,552,231,1,1,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1977,9,Silverstone Circuit
13523,13524,553,182,6,11,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1977,10,Hockenheimring
13552,13553,554,178,58,17,1,9.0,\N,1,jones,Alan,Jones,Australian,Shadow,1977,70,Red Bull Ring
13582,13583,555,182,6,11,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1977,39,Circuit Park Zandvoort
13616,13617,556,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1977,14,Autodromo Nazionale di Monza
13650,13651,557,231,1,1,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1977,46,Watkins Glen
13677,13678,558,222,59,20,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Wolf,1977,48,Mosport International Raceway
13704,13705,559,231,1,1,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1977,16,Fuji Speedway
13727,13728,560,182,6,1,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1976,18,Autódromo José Carlos Pace
13749,13750,561,182,6,1,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1976,30,Kyalami
13774,13775,562,223,6,2,1,9.0,\N,1,regazzoni,Clay,Regazzoni,Swiss,Ferrari,1976,43,Long Beach
13801,13802,563,231,1,11,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1976,45,Jarama
13831,13832,564,182,6,1,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1976,40,Zolder
13860,13861,565,182,6,1,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1976,6,Circuit de Monaco
13885,13886,566,222,25,3,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Tyrrell,1976,47,Scandinavian Raceway
13912,13913,567,231,1,11,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1976,34,Circuit Paul Ricard
13942,13943,568,182,6,1,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1976,38,Brands Hatch
13972,13973,569,231,1,11,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1976,20,Nürburgring
14000,14001,570,187,67,28,1,9.0,\N,1,watson,John,Watson,British,Penske,1976,70,Red Bull Ring
14025,14026,571,231,1,11,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1976,39,Circuit Park Zandvoort
14052,14053,572,238,37,10,1,9.0,\N,1,peterson,Ronnie,Peterson,Swedish,March,1976,14,Autodromo Nazionale di Monza
14081,14082,573,231,1,11,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1976,48,Mosport International Raceway
14108,14109,574,231,1,11,1,9.0,\N,1,hunt,James,Hunt,British,McLaren,1976,46,Watkins Glen
14135,14136,575,207,32,5,1,9.0,\N,1,mario_andretti,Mario,Andretti,American,Team Lotus,1976,16,Fuji Speedway
14161,14162,576,224,1,1,1,9.0,\N,1,emerson_fittipaldi,Emerson,Fittipaldi,Brazilian,McLaren,1975,25,Autódromo Juan y Oscar Gálvez
14184,14185,577,250,34,8,1,9.0,\N,1,pace,Carlos,Pace,Brazilian,Brabham,1975,18,Autódromo José Carlos Pace
14207,14208,578,222,25,3,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Tyrrell,1975,30,Kyalami
14235,14236,579,200,1,2,1,4.5,\N,1,mass,Jochen,Mass,German,McLaren,1975,49,Montjuïc
14261,14262,580,182,6,12,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1975,6,Circuit de Monaco
14287,14288,581,182,6,12,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1975,40,Zolder
14311,14312,582,182,6,12,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1975,47,Scandinavian Raceway
14337,14338,583,231,64,24,1,9.0,\N,1,hunt,James,Hunt,British,Hesketh,1975,39,Circuit Park Zandvoort
14362,14363,584,182,6,12,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1975,34,Circuit Paul Ricard
14388,14389,585,224,1,1,1,9.0,\N,1,emerson_fittipaldi,Emerson,Fittipaldi,Brazilian,McLaren,1975,9,Silverstone Circuit
14416,14417,586,199,34,7,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Brabham,1975,20,Nürburgring
14442,14443,587,230,37,9,1,4.5,\N,1,brambilla,Vittorio,Brambilla,Italian,March,1975,70,Red Bull Ring
14472,14473,588,223,6,11,1,9.0,\N,1,regazzoni,Clay,Regazzoni,Swiss,Ferrari,1975,14,Autodromo Nazionale di Monza
14500,14501,589,182,6,12,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1975,46,Watkins Glen
14524,14525,590,304,1,6,1,9.0,\N,1,hulme,Denny,Hulme,New Zealander,McLaren,1974,25,Autódromo Juan y Oscar Gálvez
14549,14550,591,224,1,5,1,9.0,\N,1,emerson_fittipaldi,Emerson,Fittipaldi,Brazilian,McLaren,1974,18,Autódromo José Carlos Pace
14574,14575,592,199,34,7,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Brabham,1974,30,Kyalami
14601,14602,593,182,6,12,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1974,45,Jarama
14628,14629,594,224,1,5,1,9.0,\N,1,emerson_fittipaldi,Emerson,Fittipaldi,Brazilian,McLaren,1974,50,Nivelles-Baulers
14660,14661,595,238,32,1,1,9.0,\N,1,peterson,Ronnie,Peterson,Swedish,Team Lotus,1974,6,Circuit de Monaco
14688,14689,596,222,25,3,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Tyrrell,1974,47,Scandinavian Raceway
14715,14716,597,182,6,12,1,9.0,\N,1,lauda,Niki,Lauda,Austrian,Ferrari,1974,39,Circuit Park Zandvoort
14742,14743,598,238,32,1,1,9.0,\N,1,peterson,Ronnie,Peterson,Swedish,Team Lotus,1974,41,Dijon-Prenois
14772,14773,599,222,25,3,1,9.0,\N,1,scheckter,Jody,Scheckter,South African,Tyrrell,1974,38,Brands Hatch
14806,14807,600,223,6,11,1,9.0,\N,1,regazzoni,Clay,Regazzoni,Swiss,Ferrari,1974,20,Nürburgring
14838,14839,601,199,34,7,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Brabham,1974,70,Red Bull Ring
14869,14870,602,238,32,1,1,9.0,\N,1,peterson,Ronnie,Peterson,Swedish,Team Lotus,1974,14,Autodromo Nazionale di Monza
14900,14901,603,224,1,5,1,9.0,\N,1,emerson_fittipaldi,Emerson,Fittipaldi,Brazilian,McLaren,1974,48,Mosport International Raceway
14930,14931,604,199,34,7,1,9.0,\N,1,reutemann,Carlos,Reutemann,Argentine,Brabham,1974,46,Watkins Glen
14960,14961,605,224,32,2,1,9.0,\N,1,emerson_fittipaldi,Emerson,Fittipaldi,Brazilian,Team Lotus,1973,25,Autódromo Juan y Oscar Gálvez
14979,14980,606,224,32,1,1,9.0,\N,1,emerson_fittipaldi,Emerson,Fittipaldi,Brazilian,Team Lotus,1973,18,Autódromo José Carlos Pace
14999,15000,607,328,25,3,1,9.0,\N,1,stewart,Jackie,Stewart,British,Tyrrell,1973,30,Kyalami
15024,15025,608,224,32,1,1,9.0,\N,1,emerson_fittipaldi,Emerson,Fittipaldi,Brazilian,Team Lotus,1973,49,Montjuïc
15046,15047,609,328,25,5,1,9.0,\N,1,stewart,Jackie,Stewart,British,Tyrrell,1973,40,Zolder
15069,15070,610,328,25,5,1,9.0,\N,1,stewart,Jackie,Stewart,British,Tyrrell,1973,6,Circuit de Monaco
15094,15095,611,304,1,7,1,9.0,\N,1,hulme,Denny,Hulme,New Zealander,McLaren,1973,47,Scandinavian Raceway
15115,15116,612,238,32,2,1,9.0,\N,1,peterson,Ronnie,Peterson,Swedish,Team Lotus,1973,34,Circuit Paul Ricard
15140,15141,613,309,1,8,1,9.0,\N,1,revson,Peter,Revson,American,McLaren,1973,9,Silverstone Circuit
15169,15170,614,328,25,5,1,9.0,\N,1,stewart,Jackie,Stewart,British,Tyrrell,1973,39,Circuit Park Zandvoort
15193,15194,615,328,25,5,1,9.0,\N,1,stewart,Jackie,Stewart,British,Tyrrell,1973,20,Nürburgring
